  [1,] 4.283646 43.36648
  [2,] 3.073798 42.79995
  [3,] 3.829961 42.87776
  [4,] 4.006147 43.27198
  [5,] 4.444537 42.52930
  [6,] 4.237570 42.84427
  [7,] 4.948983 42.86580
  [8,] 3.084894 43.19017
  [9,] 4.397177 42.94546
 [10,] 3.609267 42.67224
 [11,] 4.733415 43.54242
 [12,] 4.668870 42.28958
 [13,] 4.817057 43.09466
 [14,] 3.871261 43.18123
 [15,] 3.310016 43.45506
 [16,] 3.849100 43.32647
 [17,] 3.735484 42.45343
 [18,] 3.443392 42.74001
 [19,] 3.340913 43.00761
 [20,] 3.173742 42.63952
 [21,] 3.710258 43.37200
 [22,] 4.712085 42.71798
 [23,] 3.997325 42.33282
 [24,] 3.558817 43.21889
 [25,] 3.159320 43.48545
 [26,] 3.900834 42.43968
 [27,] 4.842717 42.29243
 [28,] 3.942404 43.08069
 [29,] 4.411391 43.41838
 [30,] 4.635548 43.40866
 [31,] 4.323917 43.23751
 [32,] 4.085693 42.48759
 [33,] 3.232431 43.11334
 [34,] 3.924624 42.77761
 [35,] 3.756896 42.97897
 [36,] 4.611480 43.06009
 [37,] 3.818319 42.66120
 [38,] 4.333502 43.10638
 [39,] 3.566069 42.89335
 [40,] 3.787810 43.44890
 [41,] 4.135522 42.60295
 [42,] 4.036669 43.16117
 [43,] 4.759751 43.25998
 [44,] 3.455163 42.62112
 [45,] 3.888063 42.55174
 [46,] 3.631145 43.46860
 [47,] 3.419072 42.27298
 [48,] 4.570272 43.17151
 [49,] 3.114129 43.02491
 [50,] 4.903622 42.59989
 [51,] 3.537036 42.38432
 [52,] 4.262520 42.99440
 [53,] 4.195902 42.41212
 [54,] 3.376224 42.39592
 [55,] 4.368955 43.53587
 [56,] 3.473283 43.30625
 [57,] 4.789964 42.85536
 [58,] 4.900689 42.46117
 [59,] 4.556964 42.92223
 [60,] 3.400759 43.13555
 [61,] 3.251878 43.24265
 [62,] 4.502377 42.64312
 [63,] 3.768562 42.31650
 [64,] 4.378010 42.42891
 [65,] 4.838042 42.98402
 [66,] 4.293132 42.58908
 [67,] 3.147462 42.51431
 [68,] 4.687032 42.96034
 [69,] 4.075430 43.04890
 [70,] 4.462185 42.35360
 [71,] 3.293934 42.70541
 [72,] 4.030665 42.68805
 [73,] 4.933105 43.34010
 [74,] 3.494096 43.04366
 [75,] 3.651024 43.29173
 [76,] 4.546106 43.50526
 [77,] 4.962947 42.74673
 [78,] 3.977151 43.42346
 [79,] 4.110471 43.52703
 [80,] 3.108488 43.38495
 [81,] 4.515913 42.77017
 [82,] 4.996315 42.37823
 [83,] 4.218227 42.73157
 [84,] 3.218291 42.91311
 [85,] 4.173786 43.20715
 [86,] 4.871422 43.49238
 [87,] 4.181794 43.30015
 [88,] 3.277039 43.34669
 [89,] 3.666811 42.56640
 [90,] 4.777671 42.53949
 [91,] 3.050783 42.36710
 [92,] 3.693243 43.14413
 [93,] 3.596599 42.78877
 [94,] 4.664879 42.81707
 [95,] 4.603081 42.47937
 [96,] 3.513385 42.50655
 [97,] 4.115405 42.94016
 [98,] 4.480067 42.25468
 [99,] 3.358255 42.82869
[100,] 3.193630 42.30702
