 [1,] 4.196654 42.96736
 [2,] 4.465424 43.01018
 [3,] 3.452309 42.65668
 [4,] 4.622433 42.87621
 [5,] 3.582951 42.99743
 [6,] 3.890683 42.35197
 [7,] 4.179770 42.32196
 [8,] 4.853837 43.03853
 [9,] 4.700999 42.77043
[10,] 4.814119 43.22271
[11,] 3.607284 42.72849
[12,] 4.641077 43.04868
[13,] 3.523615 43.09105
[14,] 4.260918 42.56758
[15,] 4.839980 42.76615
[16,] 3.834674 42.47482
[17,] 3.709907 42.78544
[18,] 4.328133 42.97780
[19,] 4.523416 43.08745
[20,] 4.868460 42.35541
[21,] 3.370413 43.11813
[22,] 3.284124 42.36691
[23,] 3.739376 42.39115
[24,] 3.338699 42.70549
[25,] 4.285815 42.71882
[26,] 4.164239 42.81750
[27,] 4.116372 42.45333
[28,] 3.482962 42.50866
[29,] 4.375989 42.51981
[30,] 3.437545 42.91947
[31,] 4.803733 42.67902
[32,] 4.787232 42.92620
[33,] 4.480898 42.88779
[34,] 3.948642 42.59775
[35,] 3.417986 43.03370
[36,] 4.154008 42.69237
[37,] 4.649340 43.13986
[38,] 3.851509 42.71112
[39,] 3.971387 43.01811
[40,] 3.505073 42.79170
[41,] 4.246027 42.37827
[42,] 3.331376 42.84806
[43,] 3.308733 42.58178
[44,] 3.622828 42.31338
[45,] 3.919561 42.94152
[46,] 3.688088 42.95179
[47,] 4.131891 42.62226
[48,] 4.492303 42.41946
[49,] 4.022418 42.75304
[50,] 3.775897 42.56182
[51,] 4.570967 42.49744
[52,] 3.553521 42.60345
[53,] 3.672634 42.46699
[54,] 4.540538 43.19758
[55,] 4.100707 43.06721
[56,] 3.871756 42.80623
[57,] 4.060542 42.30160
[58,] 3.657034 43.15232
[59,] 3.375940 42.43414
[60,] 4.507515 42.64749
[61,] 3.636924 42.54466
[62,] 3.826687 43.18705
[63,] 3.394557 42.32594
[64,] 4.932350 42.83084
[65,] 3.566583 42.90358
[66,] 4.969490 42.52809
[67,] 4.218893 43.12830
[68,] 4.912389 42.90255
[69,] 3.935634 42.28049
[70,] 4.445571 42.82139
[71,] 3.490312 43.17521
[72,] 3.728862 42.63028
[73,] 4.717634 42.28343
[74,] 4.277677 42.26583
[75,] 3.796227 42.98746
[76,] 3.764063 43.07330
[77,] 4.669568 42.66528
[78,] 4.008979 42.41254
[79,] 4.893141 42.44499
[80,] 4.940220 43.16143
[81,] 4.610025 42.96364
[82,] 4.340499 42.85602
[83,] 4.747321 42.48570
[84,] 4.073869 42.53855
[85,] 4.767104 43.10938
[86,] 4.357601 42.63727
[87,] 4.309548 43.20450
[88,] 4.738606 42.39833
[89,] 4.410930 42.74774
[90,] 4.047495 42.86568
[91,] 4.415193 42.33692
[92,] 3.984564 43.14435
[93,] 4.993241 42.25614
[94,] 4.588785 42.59189
