  [1,] 4.138745 43.25880
  [2,] 4.778050 43.26208
  [3,] 5.405597 42.88329
  [4,] 5.283448 42.35944
  [5,] 5.430825 42.59833
  [6,] 4.326216 43.29743
  [7,] 4.268347 42.56891
  [8,] 5.456503 43.15422
  [9,] 3.028005 42.23380
 [10,] 4.994266 42.72675
 [11,] 5.072823 42.02380
 [12,] 5.478069 42.39316
 [13,] 4.604764 42.64015
 [14,] 4.503899 42.83691
 [15,] 4.205558 42.73640
 [16,] 3.115496 42.78525
 [17,] 3.991026 43.13636
 [18,] 3.306542 42.09193
 [19,] 4.072555 42.62552
 [20,] 4.682999 42.33044
 [21,] 3.738561 43.11923
 [22,] 3.832129 42.46655
 [23,] 5.235273 42.84757
 [24,] 4.530437 43.32647
 [25,] 4.640521 43.02551
 [26,] 3.403331 43.27498
 [27,] 3.769848 42.78053
 [28,] 4.176144 43.35487
 [29,] 4.095687 42.96361
 [30,] 3.624196 42.42893
 [31,] 3.672079 42.12129
 [32,] 5.136299 42.65781
 [33,] 4.166472 43.10296
 [34,] 3.394276 42.87858
 [35,] 3.777936 42.34613
 [36,] 3.283967 43.38105
 [37,] 3.974154 42.31696
 [38,] 3.195477 42.60280
 [39,] 4.918125 43.05299
 [40,] 5.205136 43.30277
 [41,] 4.047548 42.45563
 [42,] 3.702496 42.91351
 [43,] 5.317852 42.12825
 [44,] 3.208910 42.94403
 [45,] 4.671363 42.05592
 [46,] 3.814818 43.23255
 [47,] 4.374821 43.06498
 [48,] 4.819477 43.37089
 [49,] 3.578321 43.33235
 [50,] 3.141617 42.14657
 [51,] 4.956615 42.27893
 [52,] 4.711379 42.21916
 [53,] 3.238112 43.19408
 [54,] 3.865096 42.17767
 [55,] 4.386889 42.30773
 [56,] 5.032525 42.37861
 [57,] 3.373015 42.71077
 [58,] 3.541489 42.79969
 [59,] 3.016082 42.97665
 [60,] 3.552457 43.01979
 [61,] 5.375160 42.49566
 [62,] 3.522021 43.17814
 [63,] 3.686118 42.67141
 [64,] 5.181331 42.25511
 [65,] 3.334023 43.03968
 [66,] 4.494742 43.20576
 [67,] 4.897890 42.53156
 [68,] 3.067120 43.16334
 [69,] 4.410282 42.67234
 [70,] 5.339174 43.39460
 [71,] 3.174261 43.07850
 [72,] 4.008338 42.81333
 [73,] 5.078774 42.15758
 [74,] 4.836971 42.36727
 [75,] 4.769341 42.69423
 [76,] 4.459836 42.93727
 [77,] 3.936509 42.57663
 [78,] 4.437942 42.07139
 [79,] 5.005303 43.22835
 [80,] 3.079742 42.41955
 [81,] 5.268396 43.00297
 [82,] 3.875255 42.05712
 [83,] 4.851220 42.09951
 [84,] 3.455520 42.53549
 [85,] 4.240552 42.85579
 [86,] 3.446021 42.20099
 [87,] 3.259835 42.28379
 [88,] 5.173389 43.13006
 [89,] 3.475806 42.00612
 [90,] 3.647256 42.24730
 [91,] 5.353608 42.76352
 [92,] 4.310590 42.44336
 [93,] 5.103640 42.47926
 [94,] 4.599685 42.74303
 [95,] 4.279120 42.18707
 [96,] 4.118913 42.03802
 [97,] 4.741168 42.55928
 [98,] 3.900774 42.98628
 [99,] 4.561951 42.50756
[100,] 4.927492 42.89690
