 [1,] 4.990156 42.91488
 [2,] 4.117306 43.06930
 [3,] 3.938523 42.76660
 [4,] 3.046025 42.64908
 [5,] 5.332024 41.99462
 [6,] 3.878566 42.99432
 [7,] 4.326414 42.30698
 [8,] 4.593676 41.87447
 [9,] 4.037591 42.27351
[10,] 5.856619 43.19273
[11,] 3.789648 42.53913
[12,] 5.775334 42.39731
[13,] 3.887754 42.41307
[14,] 4.206643 41.89791
[15,] 4.518593 43.17915
[16,] 4.391076 42.59633
[17,] 3.543082 42.67295
[18,] 3.662032 43.08709
[19,] 5.407198 41.82657
[20,] 4.847865 43.13312
[21,] 3.242843 42.78197
[22,] 3.639223 42.84326
[23,] 3.285738 42.34156
[24,] 3.104225 41.96410
[25,] 5.926889 42.90736
[26,] 4.887965 41.78876
[27,] 4.739859 42.04159
[28,] 5.668322 42.79168
[29,] 4.307774 42.74235
[30,] 4.833674 42.32709
[31,] 5.575353 43.10742
[32,] 3.708302 41.76318
[33,] 4.132065 42.05624
[34,] 3.411512 42.11817
[35,] 5.392230 42.14074
[36,] 5.032702 42.02086
[37,] 3.385156 43.15955
[38,] 3.327715 41.83105
[39,] 5.265911 43.12982
[40,] 5.521317 42.25691
[41,] 5.726235 42.10185
[42,] 5.212389 42.35927
[43,] 4.278113 42.88364
[44,] 5.139885 41.86736
[45,] 4.935160 42.44658
[46,] 5.913390 42.52275
[47,] 4.711019 43.01327
[48,] 5.050999 42.56772
[49,] 5.497063 42.94336
[50,] 3.219262 43.04416
[51,] 4.434026 42.16403
[52,] 3.018534 43.23148
[53,] 4.068860 42.62742
[54,] 4.185955 42.46315
[55,] 3.591292 42.24199
[56,] 3.756118 42.08436
[57,] 5.684948 42.57831
[58,] 3.185995 42.50631
[59,] 3.969986 43.21422
[60,] 5.444383 42.48010
[61,] 3.122147 42.21310
[62,] 3.490976 41.97514
[63,] 4.459628 42.98016
[64,] 4.621352 42.70505
[65,] 5.177286 42.81045
[66,] 5.613478 41.94484
[67,] 4.559518 42.37868
[68,] 5.991129 42.71574
[69,] 3.814665 41.91011
[70,] 5.297388 42.66888
[71,] 5.097751 42.17927
[72,] 4.640379 42.86188
[73,] 3.463865 42.95194
[74,] 4.768922 42.19876
[75,] 5.801968 41.80642
